comment_text,identity_attack,insult,profanity,threat,sexually_explicit
gilak sih giliran dihina balik bilangnya radikal dan merasa plong trrdzolimi tapi tingkah lu jauh lebih bangsat dri apapun,0,1,1,0,0
aneh lo babi lo yg chat gue duluan lo yg bilang kangen tp lo juga yg matian nolak gue mau lo apa si asu bgt,0,1,1,0,0
hidup gue ga bisa tenang tolong gue stres bangsat,0,0,1,0,0
wahiid sapa mbiib gue samperin nehh,0,0,0,1,0
duh anjeng gua pengen epoxy tapi pengen juga pop up asu,0,0,1,0,0
najis banget najisss amitamit gue ketemu modelan renzi di rl,0,1,0,0,0
anying,0,0,1,0,0
bertumbuk kita skrng serlok,0,0,0,1,0
wanjir gabut bgt dikereta  jam bangke,0,0,1,0,0
bangsat gue remes pentil lo,0,1,1,1,1
bangsat asu tai gini bgt kl di game posisi gua nih healer ajg,0,0,1,0,0
vcs ayo tante ibu janda jilbob sma smk smp mahasiswi yang lagi sange dm gausah malu langsung saja dm privasi aman,0,0,1,0,1
pake otak lu bangsat,0,1,1,0,0
makin banyak bangsat tukang sebar berita bohong tp ngakunya relijius  ditolak masuk bukan dideportasi  akhir zaman makin banyak bangsat ngaku alim ,0,1,1,0,0
syahroni biadab tidak punya etika,0,1,1,0,0
iblisss dia kdrun mmg merusak ajaran kdrun biadab,1,1,1,0,0
caleg kere topa bobi botak biadab ga da otak,0,1,1,0,0
maju lo sini gue gebug,0,0,0,1,0
gua tidur seharian anjing kebo banget bangsat,0,0,1,0,0
gue patahin tanganlu mau,0,0,0,1,0
bangsat ga fokus ngen,0,0,1,0,1
pengotor anak haram,0,1,0,0,0
najis bgt ya allah amit,0,1,0,0,0
bodoh banget anjeng pen gue toyor sambil bilang meuni tolol aih kamu jancok,0,1,1,1,0
mh lepas iya rok mini kamu buka rok masukan kontol ke memek basah kamu ciuman mh genjot sampai kamu kesakitan mh gede rasa ah,0,0,1,0,1
si bangsat ini kalau belum keciduk gak bakalan kapok selalu nyinyirin keluarga pak jokowi  tangkap bodat bungul ,0,1,1,1,0
bokep pertama gue pas lg doa angelus sial bgt lg doa digoda temen gue biasa duduk di blkg waktu sekolah temen gue malah ikut ke blkg nonton bokep bangsat ya gue lirik dah terus keterusan,0,0,1,0,1
munafik  barang haram dihalalkan demi fulus mus,0,1,0,0,0
aku hnya ribut dgn jamet,1,1,0,0,0
yang namanya ghea mending kita berantem aja,0,1,0,1,0
anjing malah dispill botak laknat,0,1,1,0,0
dulu pernah jadi korban pas di penentuan hari lamaran sampe bikin hampir berantem ama mas ini kejadian lagi buat nentuin syukuran  bulan yg katanya harinya ga boleh sembarangancape bgt,0,1,0,1,0
wkwkkw aku pernah gelud sama fansnya,0,1,0,1,0
aya a nya anjay jamet,1,1,0,0,0
km jamet bukan kidz,1,1,0,0,0
si jamet masih on kaga ya,1,1,0,0,0
km jamet bukan dik,1,1,0,0,0
km lucu tp km jamet hhh tp ttp ihacoy,1,1,0,0,0
akhlaq lue kek abu lahab makcik bawa bacuh semen segala gue tandain lue sini main ke indo biar tau ea eaato mau tau santet,0,1,0,1,0
mana ada kamus jamet kak kinun cb buat,1,1,0,0,0
dia bilang gini key kmw knph tdk typing jamet lagi hikshikshiksmenangis,1,1,0,0,0
akun masa katanya kangen sm typingan jamet gweh,1,1,0,0,0
km lucu tp km jamet hhh tp ttp ihacoy,1,1,0,0,0
jgn ngajak berantem,0,1,0,1,0
kan yang dibiarkan dihina ngga ditangkap krn dibilang intoleranradikal radikul dan kadrun dari yamanemang ini negara milik jkwe spt pemilunya jg hasilnya aneh bin ghoib jd smwnya ikutan trus klo ngritik presiden yang ingkar janji apa ditangkap,1,1,0,1,0
putus lah apalagi sex ga ngebikin hubungan lu sama dia bertahan lama dia tuh cuma nafsuan doang tot kalo dia sayang sama lu dia gabakal ngerusak lu udah banyak cowo modelan kek gini dan masih banyak cowo diluar sana yg lebih baik kalo dia mau mati krna diputusin yaudah iyain aja,0,1,0,0,1
jelek banget,0,1,0,0,0
mutilasi alat vitalnya kebiri,0,1,0,1,0
mutilasi alat vitalnya kebiri,0,1,0,1,0
ni makin hari gua jg jd makin takut tot di rmh aja gua makin bego makin lemah mentalnya ajaran baru pingsan kali ya,0,0,1,0,1
lu aja sono mati dluan,0,1,0,1,0
gelud sini,0,0,0,1,0
pantek,0,0,1,0,1
lebay bgt ya ga lolos km sampe overthink kejauhan mikirin mati hehe udah kebiasa soalnya tiap ada masalah bawaannya mikir mati tp santuy aja aku ga ngomongin pengen mati ke tementemen yakaliii ntar mereka kaget dong,0,1,0,1,0
lemah banget jadi manusia si buset dah,0,1,0,0,0
iya nder pertama karna lebih sering terpapar penyakit kedua karna seleksi alam alias yg bisa bertahan yg kuat doang yg lemah biasanya mati waktu masih kitten,0,1,0,1,0
ngajak gelud ni orang,0,0,0,1,0
km lucu tp km jamet hhh tp ttp ihacoy,1,1,0,0,0
ayo gelut,0,1,0,1,0
botak boleh sen tapi jangan jadi botol atau botak tolol,0,1,0,0,0
dilihat dari potongannya sih kaya santet versi taiwan wkwkkw gue mau nonton ini besok,0,0,0,1,0
tak ada seorang pun yang hina didunia ini tidak lain adalah orang itulah yang memberikan cap cina,1,1,0,0,0
mau ss an chat di bbm dong yg sblm berantem itu,0,1,0,1,0
ak kurtaw tot ak gabisa mandarin ak cuma liat subnya aja tapi awal mulanya fans artis l sama artis w ini ribut trus kek maen spill spillan keburukan artis lainnya gitu kasian yah padahal allah menutupi keburukanmu tapi fansmu berantem mulu kerjaannya,0,0,0,0,1
dari tweet an label us nya bpm tu nunda gitu debut viviz di us trus beredar di reddit bpm mau fokus ke jepang sama kadrun cina so kemungkinan bakal lama sih debut di us nya,1,1,0,0,0
tpi ya emg bner jelek nder,0,1,0,0,0
ayo gelud urang suka keributan,0,1,0,1,0
apa ya lucu kinda jamet aja sih,1,1,0,0,0
kak jayden agak jamet ah mana ada,1,1,0,0,0
salah satu mati atau salah satu bahagia sama yang lain tapi satunya gamon yah pokoknya mereka ga bisa bersatu aja itu udah sedih banget sih sakit hati kalau baca bangst tapi nagih kontol,0,0,0,0,1
kaga ada urusan gw sana dia met jamet,1,1,0,0,0
ya gpp yg penting gw bukan jamet pengecut kyk elo,1,1,0,0,0
kan gw udh bilang di dm aja ternyata elo bener pengecut yalo bisa gw laporin ke polisi krn nyebar dm gw tanpa izin,0,1,0,1,0
untuk tamu yg tidak membuka undangan akun akan data dan diserahkan ke pihak berwajib dan d adukan perbuatan tidak menyenangakan semua masalah ada solusinya cantik kuu walaupun nanti d hina netizen dan tetangga,0,1,0,1,0
saya dulu iya sama astrid sayang lagi tiduran saya lihat kontol saya lagi di sepong sama bibir seksinya astrid,0,0,1,0,1
ada dulu aku urunan beli tamagochi aku berantem akhirnha sama temenku,0,1,0,1,0
lu aja yang jamet gua mah ccn,1,1,0,0,0
lah gua kira asta jadi dukun santet,0,1,0,1,0
bacolin sri ayu tarisa yok bacol pejuhin kontolin cocktribute cumtribute pejuhinfoto pejuhinmuka bacolinchindo sangeberat sange sangeaaaaaaaaaah sangean ngentot pejuhinchallenge toge sriayutarisa,0,0,1,0,1
line tiarakhrisma openvcs vcs videocalsex videobokep customer pelayanan ps phonesex chatsex sange porno ngewe bisyar bispak bokepindo memekbasah taoge sengama testivcs testics testips testichatsexpic twiter com ncwcygatyb,0,0,1,0,1
bokep indo viral terbaru abg malam minggu lagi kocokin kontol sambil remes toket pacar montok di kamar video full  link di bio atau komentar  chikajt vcs sangebanget tiktok sangeaaaaaaaaaah,0,0,1,0,1
viral nihh selebgram kesebar video ngewe sama pacar di hotel tubuh nya mulus banget bikin ngaceng full vidionya bokep viral bokep indo skandal mesum piral abg sange,0,0,1,0,1
buat tante kesepian atau cewek ingin puas vcs phonesex privasi aman wa khusus cewe vcskuy tantesange tantebinal ceweksange memekbasah memektembem memekmerah vcsgratis bobekasi bobandung,0,0,1,0,1
bokep indo viral jilboob hot mesum bokep tante sange bohay memek basah tembem,0,0,1,0,1
bokep indo viral abg mesum sma smp ngentot ngentdfot cantik sange remas toket sendiri,0,0,1,0,1
cuma bedanya disana kontol disini titit,0,0,1,0,1
ex ada gxg yang mau ngentot malem ini sange banget prefer yang frontal f or b bebas,0,0,1,0,1
ex malem gini kontol lagi tegang ada yeoja yang mau tuntun ss atau temenin coli sambil spam pict chara nya,0,0,1,0,1
ex sange bgt amp memek kedutan ada yg mau bantuin aku smpe buat aku teler no gender prefer,0,0,1,0,1
ex lagi sange nih ada yang mau ngewe sampe pagi pref frontal longrep mingyu,0,0,1,0,1
ex yang lagi sange ada yang mau ngelonte gesekin memek beceknya ke kontol sambil nenenin mau jadi mas papa adek bebas m,0,0,1,0,1
ex dirty talk atau imagine ngentot yuk cowok bi sange pengen kontol malesub,0,0,1,0,1
ex sange banget pengen dientot sampe becek memek aku,0,0,1,0,1
ex yuk cowo sange sini ngentot sama tante,0,0,1,0,1
ex ada yang mau aku sepongin gak mood nyepong yang berlanjut ngewe lagi sange,0,0,1,0,1
ex sange banget pengen dientot memek boolnya sekaligus ada yg mau imaginedirty talk is up to you,0,0,1,0,1
ex gxg dom ada yang mau gesekgesek memek pagi ini sange banget pengen dientot sama kamu,0,0,1,0,1
ex sange banget tapi belum nemu partner yang cocok dari tadi yeoja yang bisa imagine ngentot sini main sama saya m,0,0,1,0,1
ex aku tukang kebun rumah mu sedang rapihin taman belakang kamu saku lg kerja aku liat kamu yang lagi mainin memek di saung kamu anak dari yg punya rumah ini aku yg sange langsung deketin kamu dan ajak kamu ngewe ada yg mau imagine lokal gini ga need yang frontal cont,0,0,1,0,1
